qid,question,rule_policy,oracle_policy,chunk_confidence,bm25_confidence,hybrid_confidence,ace_confidence,ace_chunk_doc_jaccard,chunk_packed_160_tokens,chunk_packed_160_doc_count,chunk_packed_160_em,chunk_packed_160_f1,ace_packed_160_tokens,ace_packed_160_doc_count,ace_packed_160_em,ace_packed_160_f1,ace_focused_160_tokens,ace_focused_160_doc_count,ace_focused_160_em,ace_focused_160_f1
pubmedqa_11200,Do Surface Porosity and Pore Size Influence Mechanical Properties and Cellular Response to PEEK?,ace_packed_160,ace_packed_160,0.3539160033517218,0.4065693548129641,0.3808968105618138,0.4912575851202391,1.0,156,3,0.0,0.02197802197802198,149,3,0.0,0.02197802197802198,158,3,0.0,0.02197802197802198
pubmedqa_25899,Does prosthetic covering of nitinol stents alter healing characteristics or hemodynamics?,chunk_packed_160,ace_packed_160,0.20195897351150133,0.26944751627693775,0.24022826915594414,0.20330350270022357,0.42857142857142855,156,4,0.0,0.0,121,4,0.0,0.0,121,4,0.0,0.0
pubmedqa_623,Is diabetes mellitus a negative prognostic factor for the treatment of advanced non-small-cell lung cancer?,chunk_packed_160,chunk_packed_160,0.2790560377896605,0.25095101410798265,0.28889023405493675,0.2942984866727053,1.0,158,3,0.0,0.0,158,3,0.0,0.0,158,3,0.0,0.0
pubmedqa_51278,Do elderly persons need to be encouraged to drink more fluids?,chunk_packed_160,chunk_packed_160,0.21634171993345658,0.2866867407846919,0.26308286672840225,0.17260711817720228,0.42857142857142855,142,4,0.0,0.0,158,4,0.0,0.0,143,4,0.0,0.0
pubmedqa_17849,Do the economic and social factors play an important role in relation to the compliance of contact lenses care routines?,chunk_packed_160,ace_focused_160,0.34797021249668475,0.3898909217222519,0.3713117189013567,0.35918656991526265,0.6666666666666666,159,4,0.0,0.0,159,4,0.0,0.0,156,4,0.0,0.0
pubmedqa_51139,Are prostate biopsies mandatory in patients with prostate-specific antigen increase during intravesical immuno- or chemotherapy for superficial bladder cancer?,ace_focused_160,ace_focused_160,0.24512245417074338,0.2622936355226613,0.2609203459501789,0.2759870792633565,0.6666666666666666,128,4,0.0,0.0,132,3,0.0,0.0,108,3,0.0,0.0
pubmedqa_9162,Do working conditions explain the increased risks of disability pension among men and women with low education?,ace_packed_160,ace_packed_160,0.2671243631846223,0.27152795734413204,0.2662978734620366,0.33706009993807723,1.0,160,4,0.0,0.027027027027027025,146,4,0.0,0.027027027027027025,148,4,0.0,0.027027027027027025
pubmedqa_20052,Platelet aggregation according to body mass index in patients undergoing coronary stenting: should clopidogrel loading-dose be weight adjusted?,ace_packed_160,ace_packed_160,0.24887377707684688,0.2994416474555337,0.2856581784498572,0.2826014842695864,1.0,160,4,0.0,0.0,142,3,0.0,0.0,158,3,0.0,0.0
pubmedqa_34507,Interleukin 27 polymorphisms in HCV RNA positive patients: is there an impact on response to interferon therapy?,chunk_packed_160,ace_focused_160,0.25106935745729697,0.2720733102131985,0.27813360975941576,0.2695369622703509,1.0,151,3,0.0,0.0,150,3,0.0,0.0,138,3,0.0,0.0
pubmedqa_31131,Can the Functional Movement Screen™ be used to capture changes in spine and knee motion control following 12 weeks of training?,chunk_packed_160,ace_packed_160,0.2925302039617266,0.2859630811391474,0.29099027009955736,0.2929160476226708,0.42857142857142855,160,5,0.0,0.0,106,4,0.0,0.0,106,4,0.0,0.0
pubmedqa_49572,Is the time interval between surgery and radiotherapy important in operable nonsmall cell lung cancer?,chunk_packed_160,ace_packed_160,0.278703670795172,0.31897866262841945,0.3047737334307727,0.28078528200985853,0.6666666666666666,160,4,0.0,0.0,138,4,0.0,0.0,138,4,0.0,0.0
pubmedqa_46881,Comparison of creamatocrit and protein concentration in each mammary lobe of the same breast: does the milk composition of each mammary lobe differ in the same breast?,chunk_packed_160,ace_packed_160,0.25907748781725926,0.2704403768938941,0.2670352554604101,0.28697160507929254,0.6666666666666666,159,4,0.0,0.0273972602739726,150,4,0.0,0.0273972602739726,160,4,0.0,0.0273972602739726
