qid,question,rule_policy,oracle_policy,chunk_confidence,bm25_confidence,hybrid_confidence,ace_confidence,ace_chunk_doc_jaccard,chunk_packed_280_tokens,chunk_packed_280_doc_count,chunk_packed_280_em,chunk_packed_280_f1,bm25_packed_280_tokens,bm25_packed_280_doc_count,bm25_packed_280_em,bm25_packed_280_f1,hybrid_packed_280_tokens,hybrid_packed_280_doc_count,hybrid_packed_280_em,hybrid_packed_280_f1,ace_packed_280_tokens,ace_packed_280_doc_count,ace_packed_280_em,ace_packed_280_f1,ace_focused_220_tokens,ace_focused_220_doc_count,ace_focused_220_em,ace_focused_220_f1
5add1d575542992c1e3a2540,What nationality was Oliver Reed's character in the film Royal Flash?,ace_focused_220,ace_focused_220,0.323097544521711,0.33776273387794964,0.3402011538359559,0.3880753472493802,1.0,265,5,0.0,0.0,275,5,0.0,0.0,265,5,0.0,0.0,267,5,0.0,0.0,196,5,0.0,0.0
5ac55ea55542993e66e82377,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,ace_focused_220,ace_focused_220,0.2552886542692099,0.2707984931197712,0.25998764790432805,0.332606912445509,0.6666666666666666,265,5,0.0,0.0,268,4,0.0,0.0,268,4,0.0,0.0,273,5,0.0,0.8,210,4,0.0,0.8
5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",ace_focused_220,ace_focused_220,0.3280707139302448,0.3486035301420266,0.32167001896008207,0.4118402327212828,0.6666666666666666,261,5,1.0,1.0,278,5,1.0,1.0,252,5,1.0,1.0,272,5,1.0,1.0,218,5,1.0,1.0
5a7133565542994082a3e65c,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",ace_focused_220,ace_focused_220,0.28611838950179364,0.29956717110615205,0.29715187944467025,0.32015900493287164,0.6666666666666666,277,5,0.0,0.6666666666666666,278,5,0.0,0.6666666666666666,277,5,0.0,0.6666666666666666,247,5,0.0,0.6666666666666666,216,4,0.0,0.6666666666666666
5ac1a4745542991316484b82,"Para Hills West, South Australia lies within a city with what estimated population?",ace_focused_220,chunk_packed_280,0.3485971179536759,0.35476026796596266,0.36659074314779033,0.4301133736209668,0.25,278,5,1.0,1.0,272,5,0.0,0.0,258,5,0.0,0.0,265,5,0.0,0.0,206,5,0.0,0.0
5adc597d55429947ff17392f,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",ace_focused_220,ace_focused_220,0.32424018089567963,0.3333548573234855,0.3357122598860302,0.3587672616883807,0.6666666666666666,275,5,0.0,0.0,261,4,0.0,0.0,255,5,0.0,0.0,276,5,0.0,0.0,203,4,0.0,0.0
5ac55e835542993e66e82375,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",chunk_packed_280,ace_focused_220,0.34380423915491076,0.32741568797138587,0.31904769491351104,0.35442404518565407,0.42857142857142855,271,5,0.0,0.6666666666666666,279,5,0.0,0.6666666666666666,279,5,0.0,0.6666666666666666,273,5,1.0,1.0,209,4,1.0,1.0
5a8d9e0f554299441c6ba015,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,chunk_packed_280,bm25_packed_280,0.2599681711213691,0.26654966464922253,0.2649518556389713,0.2685465450544771,1.0,274,5,0.0,0.0,270,5,1.0,1.0,274,5,0.0,0.0,277,5,0.0,0.0,219,4,0.0,0.0
5ae70ed7554299572ea546a1,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",ace_focused_220,ace_focused_220,0.25844330192798104,0.24017806232093142,0.2512300478457946,0.3140574738802861,1.0,274,5,0.0,0.0,275,5,0.0,0.0,274,5,0.0,0.0,280,5,0.0,0.6666666666666666,220,4,1.0,1.0
5a74a8fa55429929fddd8497,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",ace_focused_220,ace_focused_220,0.25755749604892575,0.263264938651419,0.25663480566304153,0.3109521693387117,0.42857142857142855,276,5,0.0,0.0,266,5,0.0,0.0,276,5,0.0,0.0,275,5,0.0,0.0,208,4,0.0,0.0
